Source IP, Source Port, Destination IP, Destination Port, Protocol, Flow Duration, Flow packets, Forward Packets, Backward Packets, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min
198.52.200.39,443,10.0.2.15,55139,6,14972426,191,98,93,5722.6530957641735,12.756783703589518,78802.2421052631,552863.3084119202,7064503.0,6.0,154354.90721649484,771857.3806468135,7102042.0,6.0,162741.72826086954,788643.1030490521,7064552.0,33.0,612088.0,706790.6510891326,1390229.0,9885.0,3632686.333333333,3052447.5506087462,7064503.0,1220781.0
198.52.200.39,443,10.0.2.15,55139,6,14986212,1085,593,492,27058.73905961026,72.39988330606828,13824.918819188184,26322.176213663188,322891.0,11.0,25314.54729729729,33236.946532381764,323184.0,11.0,30512.64154786156,36405.2930096181,323250.0,74.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14997318,1052,592,460,25731.867524580062,70.14587541585769,14269.569933396784,19947.389703766108,125231.0,11.0,25376.172588832484,22284.49802146029,125541.0,11.0,32570.071895424808,24343.441748865524,125495.0,51.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14981453,1205,675,530,28427.68321604053,80.43278579187212,12443.06727574749,16503.84140168875,99800.0,13.0,22227.675074183993,17874.816114551682,99800.0,20.0,28197.20604914933,20227.18563594609,121824.0,228.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14998825,1280,711,569,30873.418417776058,85.34001830143362,11726.993745113381,15073.45185452231,95522.0,11.0,21125.105633802796,16852.995083599777,96513.0,25.0,26405.746478873236,17298.78903610042,127945.0,86.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14974840,1131,635,496,26879.08518555123,75.52668342366262,13252.070796460186,17377.134251733736,96390.0,17.0,23619.621451104103,18939.770922974974,96652.0,17.0,30243.74747474746,21063.655466374832,105876.0,364.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14997933,1139,637,502,26626.269099881963,75.9437983887513,13179.202987697718,17791.65915412504,105956.0,10.0,23581.655660377357,19512.964039954317,105956.0,17.0,29875.4131736527,20327.764814138976,123367.0,343.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14948521,1100,614,486,26175.231650007383,73.585875151127,13601.92993630573,18715.066819683394,105447.0,10.0,24385.841761827065,21773.515574431654,105726.0,10.0,30759.85360824742,23035.530781681908,134729.0,311.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14994309,929,522,407,22782.97719488107,61.95683975833765,16157.660560344824,22044.23862193465,113121.0,16.0,28779.863723608447,25544.43295376646,113486.0,16.0,36906.034482758616,28215.30942764182,120769.0,240.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14966407,980,550,430,23634.7307673779,65.47997792656581,15287.443309499491,20786.508243292566,122609.0,16.0,27261.214936247714,23460.1883319488,122849.0,16.0,34711.80652680653,25548.526179712822,122760.0,312.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14993209,994,554,440,23790.43739068801,66.29668138421869,15098.901309164143,20325.787093445433,134032.0,25.0,27112.493670886066,22738.462881996224,134171.0,25.0,34003.27790432806,24225.68743614189,134213.0,410.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14919041,816,458,358,20713.59680558556,54.69520460463913,18305.571779141115,24393.54699207325,121136.0,14.0,32645.603938730903,27692.754394430463,121373.0,21.0,41788.92156862742,30043.06423622093,147318.0,496.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14931647,898,494,404,21559.17562208643,60.140719908527174,16646.206243032328,23062.314361836237,122228.0,19.0,30287.316430020288,26760.93384372614,122676.0,21.0,37044.39205955336,28545.13028757207,139765.0,442.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14955639,758,421,337,19117.20388543746,50.68322389969429,19756.458388375187,25238.770316935617,113378.0,24.0,35608.18809523807,28562.269926780395,114235.0,31.0,44376.23809523811,29983.957518454994,121601.0,554.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14988300,779,437,342,19538.773576723175,51.973872954237635,19265.16709511567,25413.127343408578,120721.0,7.0,34376.83486238535,28893.616574182684,121134.0,7.0,43914.0175953079,30311.46287559399,121837.0,258.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14936065,799,439,360,19949.297221189117,53.49467881935436,18716.873433583965,25066.685685987126,124753.0,25.0,34100.605022831085,28535.64114542511,125005.0,25.0,41603.64902506962,31914.759190701945,124952.0,241.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14996026,927,518,409,22336.184266418317,61.81637721887118,16194.412526997827,21558.567096254148,116844.0,8.0,29005.852998065755,24874.388624282536,117013.0,25.0,36722.64215686277,26821.256832832496,123099.0,419.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14959886,1021,574,447,24443.568620776925,68.24918318227826,14666.554901960792,20364.096602829864,126260.0,11.0,26108.003490401377,22735.102788895994,126496.0,11.0,33406.40134529146,24111.754956385128,126470.0,272.0,0,0,0,0,0,0,0,0
198.52.200.39,443,10.0.2.15,55139,6,14993159,819,457,362,19320.07791019891,54.62491260180726,18329.045232273824,24152.546275605386,121732.0,15.0,32879.73464912282,27232.854096141702,122017.0,15.0,41429.27146814408,29670.628263551785,127076.0,377.0,0,0,0,0,0,0,0,0
